id_fait,annee,code_departement,id_indicateur,nombre_faits,taux_pour_mille,population,nombre_logements
544,2021,62,4,12,0.008,1461441,727951
545,2021,63,4,5,0.008,662285,397923
546,2021,64,4,8,0.012,693027,421756
547,2021,65,4,3,0.013,230956,165621
548,2021,66,4,10,0.021,487307,362350
549,2021,67,4,5,0.004,1152662,581630
550,2021,68,4,4,0.005,767083,389445
551,2021,69,4,11,0.006,1893692,964037
552,2021,70,4,3,0.013,234296,129449
553,2021,71,4,2,0.004,549288,314053
554,2021,72,4,7,0.012,566058,296419
555,2021,73,4,5,0.011,442468,358886
556,2021,74,4,4,0.005,841482,540705
557,2021,75,4,22,0.010,2133111,1396753
558,2021,76,4,14,0.011,1255918,657851
559,2021,77,4,20,0.014,1438100,641376
560,2021,78,4,15,0.010,1456365,661312
561,2021,79,4,5,0.013,374587,197430
562,2021,80,4,11,0.019,566252,307149
563,2021,81,4,2,0.005,393572,218036
564,2021,82,4,2,0.008,263377,135891
565,2021,83,4,14,0.013,1095337,743682
566,2021,84,4,11,0.019,564566,314424
567,2021,85,4,8,0.011,699459,441153
568,2021,86,4,7,0.016,439385,245247
569,2021,87,4,6,0.016,371691,222826
570,2021,88,4,2,0.006,360673,215468
571,2021,89,4,5,0.015,333385,198598
572,2021,90,4,2,0.014,139654,73620
573,2021,91,4,18,0.014,1313768,587710
574,2021,92,4,19,0.012,1635291,824372
575,2021,93,4,27,0.016,1668670,705282
576,2021,94,4,20,0.014,1415367,662168
577,2021,95,4,23,0.018,1256607,529926
578,2022,01,4,9,0.013,671289,329783
579,2022,02,4,6,0.011,525558,268381
580,2022,03,4,0,0.000,334715,209666
581,2022,04,4,1,0.006,167179,131551
582,2022,05,4,4,0.028,141677,139877
583,2022,06,4,17,0.015,1114579,788916
584,2022,07,4,5,0.015,333229,209963
585,2022,08,4,4,0.015,267204,143973
586,2022,09,4,4,0.026,155339,111352
587,2022,10,4,5,0.016,311076,167657
588,2022,11,4,4,0.011,377773,268987
589,2022,12,4,2,0.007,279736,184954
590,2022,13,4,82,0.040,2069811,1066675
591,2022,14,4,4,0.006,704605,429997
592,2022,15,4,0,0.000,144399,102634
593,2022,16,4,5,0.014,351603,200757
594,2022,17,4,6,0.009,668160,451118
595,2022,18,4,3,0.010,299496,179274
596,2022,19,4,2,0.008,240120,156356
597,2022,21,4,3,0.006,537577,297329
598,2022,22,4,8,0.013,609598,376517
599,2022,23,4,0,0.000,115529,89016
600,2022,24,4,7,0.017,416325,264136
601,2022,25,4,12,0.022,548662,288184
602,2022,26,4,7,0.013,521432,282419
603,2022,27,4,8,0.013,601305,300922
604,2022,28,4,6,0.014,432950,219670
605,2022,29,4,16,0.017,927912,556255
606,2022,2A,4,5,0.030,166045,124954
607,2022,2B,4,7,0.038,185231,136722
608,2022,30,4,9,0.012,764010,441086
609,2022,31,4,11,0.008,1456261,769604
610,2022,32,4,1,0.005,192649,112806
